DATE,TLAACBW027SBOG
1986-07-30,2485.2181
1986-08-06,2493.2125
1986-08-13,2492.6703
1986-08-20,2501.4704
1986-08-27,2519.7656
1986-09-03,2532.0363
1986-09-10,2514.4094
1986-09-17,2527.7558
1986-09-24,2518.9784
1986-10-01,2546.0622
1986-10-08,2524.944
1986-10-15,2541.6636
1986-10-22,2532.079
1986-10-29,2518.5899
1986-11-05,2537.4413
1986-11-12,2560.7762
1986-11-19,2546.9217
1986-11-26,2566.5902
1986-12-03,2560.0113
1986-12-10,2574.5036
1986-12-17,2574.5008
1986-12-24,2614.2465
1986-12-31,2633.7281
1987-01-07,2622.3301
1987-01-14,2610.2395
1987-01-21,2620.359
1987-01-28,2637.6292
1987-02-04,2620.6848
1987-02-11,2624.0656
1987-02-18,2623.6166
1987-02-25,2626.4986
1987-03-04,2626.8764
1987-03-11,2637.739
1987-03-18,2631.2366
1987-03-25,2646.81
1987-04-01,2664.3837
1987-04-08,2656.3874
1987-04-15,2679.5315
1987-04-22,2678.5941
1987-04-29,2658.4418
1987-05-06,2666.015
1987-05-13,2668.3027
1987-05-20,2679.7856
1987-05-27,2701.8092
1987-06-03,2665.9548
1987-06-10,2681.7627
1987-06-17,2666.9255
1987-06-24,2692.9642
1987-07-01,2679.9534
1987-07-08,2658.6309
1987-07-15,2686.3883
1987-07-22,2675.4345
1987-07-29,2671.7469
1987-08-05,2682.2691
1987-08-12,2694.1055
1987-08-19,2685.636
1987-08-26,2713.4704
1987-09-02,2671.9213
1987-09-09,2712.0125
1987-09-16,2714.3696
1987-09-23,2724.3437
1987-09-30,2726.6666
1987-10-07,2714.0946
1987-10-14,2725.6167
1987-10-21,2748.7635
1987-10-28,2766.6838
1987-11-04,2742.5033
1987-11-11,2737.5767
1987-11-18,2726.8671
1987-11-25,2732.0852
1987-12-02,2729.2221
1987-12-09,2731.3595
1987-12-16,2735.5696
1987-12-23,2739.7927
1987-12-30,2727.0889
1988-01-06,2744.2466
1988-01-13,2745.9882
1988-01-20,2755.6041
1988-01-27,2764.9415
1988-02-03,2767.0217
1988-02-10,2770.6547
1988-02-17,2775.6999
1988-02-24,2754.7062
1988-03-02,2767.4522
1988-03-09,2765.4264
1988-03-16,2784.1984
1988-03-23,2791.2445
1988-03-30,2773.9531
1988-04-06,2805.6509
1988-04-13,2788.6087
1988-04-20,2813.1751
1988-04-27,2806.9404
1988-05-04,2831.0237
1988-05-11,2834.6959
1988-05-18,2828.5833
1988-05-25,2819.0587
1988-06-01,2862.1982
1988-06-08,2845.3697
