Date,BalanceSheet_FED,BalanceSheet_global,Bitcoin_Wikipedia_Search,BTC_USD,USD_OnChain_Volume,GDP_usa,HashRate,M2_Liquidity,Dollar_Index,QQQ,GLD,TLT,Ten_YR_USA,VIX,OIL_USD,Miners_Revenue_USD,Mining_Difficulty,Nr_Transactions,Nr_Addresses,BTC_Supply
2019-03-20,3962748.0,17085.1591,3481.0,4056.75,649248713.708245,,48571483.8172485,,95.76000213623048,173.74916076660156,124.18000030517578,107.78840637207033,2.5350000858306885,13.90999984741211,59.83000183105469,8742662.15328318,6068891541677.0,304960.0,538723.0,17600725.0
2019-03-21,,,3444.0,3996.93,650496386.448401,,43141131.5892332,,96.5,176.4652557373047,123.68000030517578,108.02564239501952,2.5369999408721924,13.630000114440918,59.97999954223633,7388901.05848648,6068891541677.0,300712.0,535702.0,17602512.5
2019-03-22,,,3275.0,4000.84,528282764.480713,,48571483.8172485,,96.6500015258789,172.58934020996094,123.97000122070312,109.70379638671876,2.4549999237060547,16.479999542236328,59.040000915527344,8113657.07200504,6068891541677.0,298524.0,550986.0,17604525.0
2019-03-23,,,2465.0,4007.21,315765407.872059,,43744504.0590126,,,,,,,,,7382484.15111263,6068891541677.0,251573.0,450872.0,17606337.5
2019-03-24,,,2355.0,3994.11,288672589.988115,,47490106.9905989,,,,,,,,,7499624.0874357,6368919654419.87,226166.0,417726.0,17608212.5
2019-03-25,,,3231.0,3924.55,596522167.552637,,46933020.833036,14532.7,96.56999969482422,172.26071166992188,124.91999816894533,109.8795166015625,2.4200000762939453,16.329999923706055,58.81999969482422,7512795.86116405,6379265451411.0,322191.0,530401.0,17610062.5
2019-03-26,,,3413.0,3942.22,604089194.968484,,42493410.7542353,,96.73999786376952,173.06295776367188,124.3000030517578,109.8004379272461,2.4140000343322754,14.68000030517578,59.93999862670898,6780907.83753621,6379265451411.0,366415.0,522961.0,17611737.5
2019-03-27,3955617.0,17132.2723,3516.0,4045.98,624205341.900583,,47250135.8386646,,96.7699966430664,171.951416015625,123.6500015258789,110.8108367919922,2.374000072479248,15.149999618530272,59.40999984741211,7721974.78508324,6379265451411.0,383186.0,569697.0,17613600.0
2019-03-28,,,3184.0,4036.45,625086884.886481,,46298790.8217788,,97.1999969482422,172.34767150878906,121.9000015258789,111.19744110107422,2.388999938964844,14.43000030517578,59.29999923706055,7609348.21050804,6379265451411.0,393698.0,578059.0,17615425.0
2019-03-29,,,3033.0,4111.38,818224153.65678,,46615905.8274074,,97.27999877929688,173.652587890625,122.01000213623048,111.0920181274414,2.4140000343322754,13.710000038146973,60.13999938964844,7807462.60003831,6379265451411.0,369817.0,563925.0,17617262.5
2019-03-30,,,2369.0,4118.13,350278425.921954,,44078985.7823784,,,,,,,,,7321449.75025686,6379265451411.0,377783.0,513840.0,17619000.0
2019-03-31,,,2560.0,4112.69,421441500.798735,,44078985.7823784,,,,,,,,,7280099.53845046,6379265451411.0,381652.0,459478.0,17620737.5
2019-04-01,,,3905.0,4151.32,640470349.712981,21384.775,43127640.7654926,14652.3,97.25,175.9529571533203,121.52999877929688,109.51405334472656,2.496999979019165,13.399999618530272,61.59000015258789,7260086.68771618,6379265451411.0,368904.0,528288.0,17622437.5
2019-04-02,,,4866.0,4906.93,1458650931.44406,,49787055.8836936,,97.36000061035156,176.61990356445312,121.9800033569336,109.7165985107422,2.4809999465942383,13.359999656677246,62.58000183105469,9796335.10708989,6379265451411.0,401507.0,666741.0,17624400.0
2019-04-03,3935509.0,17133.5522,5538.0,4976.59,1183522596.2499,,45030330.7992643,,97.08999633789062,177.634765625,121.8000030517578,108.7656021118164,2.5169999599456787,13.739999771118164,62.459999084472656,9794906.73422098,6379265451411.0,360250.0,626468.0,17626175.0
2019-04-04,,,4043.0,4913.36,1008344651.11579,,44396100.788007,,97.30999755859376,177.567138671875,122.11000061035156,109.07379913330078,2.51200008392334,13.579999923706056,62.09999847412109,9872137.44577406,6379265451411.0,354660.0,603757.0,17627925.0
2019-04-05,,,3518.0,5047.23,898533778.471696,,50104170.8893222,,97.4000015258789,178.48532104492188,121.9800033569336,109.2146453857422,2.500999927520752,12.81999969482422,63.08000183105469,10526385.5093253,6379265451411.0,387090.0,632546.0,17629900.0
2019-04-06,,,2604.0,5057.25,426663923.548921,,44081037.5636847,,,,,,,,,9151289.67996446,6379562392399.29,359569.0,478034.0,17631637.5
2019-04-07,,,2725.0,5201.16,441363438.70443,,44809649.5150327,,,,,,,,,9465714.63768817,6393023717202.0,350631.0,447559.0,17633400.0
2019-04-08,,,3687.0,5294.09,983977267.449247,,47034242.0441478,14700.3,97.0500030517578,178.9396514892578,122.51000213623048,108.82720184326172,2.5190000534057617,13.18000030517578,64.4000015258789,10509444.218827,6393023717202.0,372417.0,579028.0,17635250.0
2019-04-09,,,3971.0,5201.3,877070582.095037,,41949459.1204562,,97.01000213623048,178.3114013671875,123.1500015258789,109.17062377929688,2.499000072479248,14.279999732971191,63.97999954223633,9214713.9963386,6393023717202.0,346071.0,572096.0,17636900.0
2019-04-10,3936784.0,17097.0106,3757.0,5318.6,851450827.774018,,47034242.0441478,,96.9499969482422,179.26828002929688,123.52999877929688,109.43479919433594,2.476999998092652,13.300000190734863,64.61000061035156,10332304.7364178,6393023717202.0,396501.0,593178.0,17638750.0
2019-04-11,,,3358.0,5048.56,1050019754.79499,,49894432.4387244,,97.18000030517578,178.84300231933594,121.9499969482422,108.7919921875,2.503999948501587,13.020000457763672,63.58000183105469,10673185.0684278,6393023717202.0,402802.0,620631.0,17640712.5
2019-04-12,,,3271.0,5081.5,693684833.346474,,47987638.84234,,96.97000122070312,179.61624145507812,121.83000183105467,108.0171127319336,2.559999942779541,12.010000228881836,63.88999938964844,10032844.6937624,6393023717202.0,376767.0,578099.0,17642600.0
2019-04-13,,,2296.0,5080.66,423377389.265318,,42902855.9186484,,,,,,,,,8912797.68267318,6393023717202.0,367076.0,458376.0,17644287.5
2019-04-14,,,2213.0,5165.59,550425596.886162,,38771469.7931489,,,,,,,,,8025830.56805046,6393023717202.0,337030.0,430064.0,17645812.5
2019-04-15,,,3189.0,5037.27,804147839.205968,,46080845.2459556,14722.7,96.94000244140624,179.64524841308594,121.5999984741211,108.29006958007812,2.552999973297119,12.31999969482422,63.400001525878906,9812670.32039005,6393023717202.0,381473.0,576183.0,17647625.0
2019-04-16,,,3077.0,5212.81,645003301.664171,,46080845.2459556,,97.04000091552734,180.2638397216797,120.51000213623048,107.612060546875,2.5920000076293945,12.18000030517578,64.05000305175781,9626718.55527819,6393023717202.0,358517.0,560007.0,17649437.5
2019-04-17,3931827.0,17081.0695,3145.0,5236.26,896458088.041183,,43856252.7168405,,97.01000213623048,180.8920745849609,120.27999877929688,107.65606689453124,2.5920000076293945,12.600000381469728,63.7599983215332,9679415.78377375,6393023717202.0,350737.0,555678.0,17651162.5
