Date,BalanceSheet_global
07/20/88,2877.638
07/27/88,2883.9406
08/03/88,2869.2281
08/10/88,2886.2708
08/17/88,2874.6428
08/24/88,2885.8492
08/31/88,2870.0101
09/07/88,2884.0354
09/14/88,2874.8576
09/21/88,2898.6304
09/28/88,2874.8275
10/05/88,2899.5138
10/12/88,2898.1602
10/19/88,2900.8326
10/26/88,2902.1359
11/02/88,2916.0024
11/09/88,2900.4471
11/16/88,2920.2762
11/23/88,2919.633
11/30/88,2927.237
12/07/88,2926.8749
12/14/88,2928.1301
12/21/88,2926.5728
12/28/88,2930.1201
01/04/89,2937.5602
01/11/89,2944.7761
01/18/89,2935.452
01/25/89,2942.0934
02/01/89,2958.2448
02/08/89,2960.3126
02/15/89,2964.4001
02/22/89,2974.4331
03/01/89,2999.4164
03/08/89,2965.2778
03/15/89,2991.1748
03/22/89,2984.9446
03/29/89,2975.3628
04/05/89,2981.1386
04/12/89,2979.7079
04/19/89,2986.235
04/26/89,2991.9152
05/03/89,3005.8945
05/10/89,2996.8545
05/17/89,3017.4267
05/24/89,3014.2207
05/31/89,3024.4222
06/07/89,3011.3191
06/14/89,3017.1022
06/21/89,3024.1265
06/28/89,3017.8935
07/05/89,3035.0913
07/12/89,3054.0042
07/19/89,3029.4138
07/26/89,3070.9083
08/02/89,3056.83
08/09/89,3072.335
08/16/89,3063.9323
08/23/89,3080.046
08/30/89,3055.4603
09/06/89,3083.7327
09/13/89,3070.9288
09/20/89,3093.9343
09/27/89,3076.0327
10/04/89,3093.9551
10/11/89,3091.374
10/18/89,3096.2323
10/25/89,3102.4303
11/01/89,3148.6114
11/08/89,3100.7634
11/15/89,3122.7633
11/22/89,3118.3614
11/29/89,3116.4447
12/06/89,3125.4525
12/13/89,3136.1782
12/20/89,3132.3993
12/27/89,3141.0066
01/03/90,3131.6598
01/10/90,3153.43
01/17/90,3152.4565
01/24/90,3149.551
01/31/90,3158.5011
02/07/90,3158.9195
02/14/90,3150.442
02/21/90,3176.5431
02/28/90,3174.0416
03/07/90,3176.8316
03/14/90,3185.3503
03/21/90,3187.7294
03/28/90,3184.9823
04/04/90,3190.9287
04/11/90,3191.142
04/18/90,3198.9471
04/25/90,3198.924
05/02/90,3205.84
05/09/90,3199.192
05/16/90,3210.8192
05/23/90,3209.4502
05/30/90,3203.3963
06/06/90,3216.9614
06/13/90,3234.2761
06/20/90,3236.5539
06/27/90,3248.1788
07/04/90,3235.0955
07/11/90,3245.4018
07/18/90,3244.0417
07/25/90,3267.8778
08/01/90,3271.7993
08/08/90,3272.0173
08/15/90,3300.4054
08/22/90,3291.1694
08/29/90,3262.7443
09/05/90,3299.7328
09/12/90,3266.0876
09/19/90,3283.236
09/26/90,3269.2118
10/03/90,3281.0125
10/10/90,3285.8297
10/17/90,3254.0185
10/24/90,3273.5833
10/31/90,3285.8933
11/07/90,3264.7426
11/14/90,3300.5094
11/21/90,3283.6987
11/28/90,3270.999
12/05/90,3280.2023
12/12/90,3295.9645
12/19/90,3276.1653
12/26/90,3287.7583
01/02/91,3286.1597
01/09/91,3275.2474
01/16/91,3253.1589
01/23/91,3299.3481
01/30/91,3263.8745
02/06/91,3297.3262
02/13/91,3280.5744
02/20/91,3304.208
02/27/91,3287.0483
03/06/91,3301.1656
03/13/91,3300.6779
03/20/91,3311.2125
03/27/91,3299.3211
04/03/91,3302.5551
04/10/91,3300.1122
04/17/91,3298.7674
04/24/91,3283.6567
05/01/91,3331.3376
05/08/91,3280.49
05/15/91,3321.7642
05/22/91,3285.3289
05/29/91,3298.7549
06/05/91,3297.0068
06/12/91,3310.4078
06/19/91,3291.0095
06/26/91,3332.063
07/03/91,3281.6083
07/10/91,3305.3769
07/17/91,3279.5688
07/24/91,3303.5123
07/31/91,3314.39
08/07/91,3310.5465
08/14/91,3295.9198
08/21/91,3318.1238
08/28/91,3299.8627
09/04/91,3325.1105
09/11/91,3293.7168
09/18/91,3326.9326
09/25/91,3326.9909
10/02/91,3338.2644
10/09/91,3309.7536
10/16/91,3363.8418
10/23/91,3335.8873
10/30/91,3339.3567
11/06/91,3341.6263
11/13/91,3377.872
11/20/91,3352.0999
11/27/91,3375.524
12/04/91,3359.9734
12/11/91,3382.5392
12/18/91,3354.4085
12/25/91,3398.9076
01/01/92,3356.9142
01/08/92,3379.0632
01/15/92,3396.2563
01/22/92,3406.9014
01/29/92,3384.0668
02/05/92,3405.768
02/12/92,3392.7069
02/19/92,3410.0553
02/26/92,3382.5238
03/04/92,3408.0963
03/11/92,3398.1224
03/18/92,3392.9021
03/25/92,3403.4459
04/01/92,3426.5143
04/08/92,3393.1229
04/15/92,3448.9091
04/22/92,3402.1887
04/29/92,3387.6247
05/06/92,3397.4242
05/13/92,3401.8791
05/20/92,3400.3789
05/27/92,3413.1329
06/03/92,3386.7809
06/10/92,3417.0421
06/17/92,3391.8439
06/24/92,3416.6983
07/01/92,3437.6751
07/08/92,3398.5752
07/15/92,3421.4433
07/22/92,3417.9163
07/29/92,3383.0976
08/05/92,3427.348
08/12/92,3412.2661
08/19/92,3414.2063
08/26/92,3422.7554
09/02/92,3430.1338
09/09/92,3426.9829
09/16/92,3452.8697
09/23/92,3417.7646
09/30/92,3453.4778
10/07/92,3425.8447
10/14/92,3459.1488
10/21/92,3435.4077
10/28/92,3438.4869
11/04/92,3447.0786
11/11/92,3468.8483
11/18/92,3438.2076
11/25/92,3474.5071
12/02/92,3456.5421
12/09/92,3469.3944
12/16/92,3458.105
12/23/92,3478.4792
12/30/92,3444.9765
01/06/93,3466.5182
01/13/93,3446.3252
01/20/93,3449.1825
01/27/93,3436.9268
02/03/93,3463.8851
02/10/93,3453.1736
02/17/93,3466.0672
02/24/93,3433.9629
03/03/93,3476.9011
03/10/93,3462.2772
03/17/93,3473.5211
03/24/93,3475.7919
03/31/93,3497.154
04/07/93,3486.3815
04/14/93,3490.2857
04/21/93,3471.7113
04/28/93,3491.25
05/05/93,3497.0612
05/12/93,3525.0984
05/19/93,3503.5931
05/26/93,3527.9011
06/02/93,3534.5697
06/09/93,3553.3343
06/16/93,3544.1852
06/23/93,3556.6706
06/30/93,3544.7766
07/07/93,3590.9515
07/14/93,3566.4383
07/21/93,3579.335
07/28/93,3561.0439
08/04/93,3585.7396
08/11/93,3581.0244
08/18/93,3578.4154
08/25/93,3578.5624
09/01/93,3606.5951
09/08/93,3574.9484
09/15/93,3632.729
09/22/93,3581.2185
09/29/93,3595.7373
10/06/93,3576.6093
10/13/93,3591.9092
10/20/93,3581.5638
10/27/93,3594.6288
11/03/93,3581.4655
11/10/93,3596.0594
11/17/93,3577.3785
11/24/93,3611.3837
12/01/93,3622.907
12/08/93,3617.5906
12/15/93,3631.9646
12/22/93,3611.8671
12/29/93,3599.9424
01/05/94,3646.4383
01/12/94,3655.4243
01/19/94,3666.3735
01/26/94,3649.8597
02/02/94,3668.5641
02/09/94,3672.4297
