Date,BalanceSheet_FED
09/01/21,8349173
09/08/21,8357314
09/15/21,8448770
09/22/21,8489824
09/29/21,8447981
10/06/21,8464032
10/13/21,8480942
10/20/21,8564943
10/27/21,8556181
11/03/21,8574871
11/10/21,8663117
11/17/21,8674970
11/24/21,8681771
12/01/21,8650402
12/08/21,8664524
12/15/21,8756666
12/22/21,8790495
12/29/21,8757460
01/05/22,8765721
01/12/22,8788278
01/19/22,8867834
01/26/22,8860485
02/02/22,8873211
02/09/22,8878009
02/16/22,8911033
02/23/22,8928129
03/02/22,8904455
03/09/22,8910748
03/16/22,8954306
03/23/22,8962474
03/30/22,8937142
04/06/22,8937592
04/13/22,8965487
04/20/22,8955851
04/27/22,8939199
05/04/22,8939972
05/11/22,8942008
05/18/22,8945898
05/25/22,8914281
06/01/22,8915050
06/08/22,8918254
06/15/22,8932420
06/22/22,8934346
06/29/22,8913553
07/06/22,8891851
07/13/22,8895867
07/20/22,8899213
07/27/22,8890004
08/03/22,8874620
08/10/22,8879138
08/17/22,8849762
08/24/22,8851436
08/31/22,8826093
09/07/22,8822401
09/14/22,8832759
09/21/22,8816802
09/28/22,8795567
10/05/22,8759053
10/12/22,8758969
10/19/22,8743922
10/26/22,8723090
11/02/22,8676870
11/09/22,8678886
11/16/22,8625620
11/23/22,8621390
11/30/22,8584576
12/07/22,8582735
12/14/22,8583413
12/21/22,8564411
12/28/22,8551169
01/04/23,8507429
01/11/23,8508587
01/18/23,8489039
01/25/23,8470557
02/01/23,8433610
02/08/23,8435369
02/15/23,8384767
02/22/23,8382190
03/01/23,8339684
03/08/23,8342283
03/15/23,8639300
03/22/23,8733787
03/29/23,8705942
04/05/23,8632384
04/12/23,8614797
04/19/23,8593263
04/26/23,8562768
05/03/23,8503994
05/10/23,8503017
05/17/23,8456760
05/24/23,8436255
05/31/23,8385854
06/07/23,8389325
06/14/23,8388323
06/21/23,8362060
06/28/23,8340914
07/05/23,8298312
07/12/23,8296923
07/19/23,8274552
07/26/23,8243344
08/02/23,8206764
08/09/23,8208241
08/16/23,8145727
08/23/23,8139066
08/30/23,8121316
09/06/23,8101318
09/13/23,8098779
09/20/23,8024090
09/27/23,8002064
10/04/23,7955782
10/11/23,7952054
10/18/23,7933162
10/25/23,7907830
11/01/23,7866664
11/08/23,7860691
11/15/23,7814991
11/22/23,7810814
11/29/23,7796145
12/06/23,7737385
12/13/23,7739566
12/20/23,7724063
12/27/23,7712781
01/03/24,7681024
01/10/24,7686710
01/17/24,7673741
01/24/24,7677230
01/31/24,7630124
02/07/24,7631300
02/14/24,7633874
02/21/24,7581683
02/28/24,7567807
03/06/24,7538857
03/13/24,7541969
03/20/24,7514348
03/27/24,7484739
04/03/24,7439558
04/10/24,7438176
04/17/24,7405506
04/24/24,7402434
05/01/24,7362474
05/08/24,7353408
05/15/24,7304272
05/22/24,7299566
05/29/24,7284319
06/05/24,7255687
06/12/24,7258974
06/19/24,7252542
06/26/24,7231163
07/03/24,7221520
07/10/24,7224079
07/17/24,7208247
07/24/24,7205455
07/31/24,7178391
08/07/24,7175256
08/14/24,7177688
08/21/24,7139952
